# Time-averaged data for fix myat1
# TimeStep v_total_energy
214000 1.27751
215000 1.27789
216000 1.27875
217000 1.27871
218000 1.2796
219000 1.27897
220000 1.27702
221000 1.27837
222000 1.27889
223000 1.27938
224000 1.27912
225000 1.28044
226000 1.28035
227000 1.28183
228000 1.27852
229000 1.27875
230000 1.27855
231000 1.2767
232000 1.27508
233000 1.27704
234000 1.27887
235000 1.27747
236000 1.27734
237000 1.27571
238000 1.27707
239000 1.27884
240000 1.27768
241000 1.279
242000 1.27891
243000 1.27808
244000 1.27743
245000 1.27686
246000 1.27795
247000 1.27829
248000 1.27929
249000 1.2764
250000 1.27318
251000 1.27574
252000 1.27919
253000 1.2761
254000 1.27697
255000 1.27608
256000 1.27757
257000 1.27623
258000 1.27632
259000 1.27583
260000 1.27805
261000 1.27805
262000 1.27633
263000 1.27607
264000 1.27912
265000 1.27965
266000 1.27867
267000 1.27909
268000 1.27591
269000 1.27619
270000 1.27398
271000 1.27805
272000 1.27534
273000 1.27595
274000 1.27637
275000 1.27654
276000 1.27622
277000 1.27833
278000 1.27828
279000 1.27932
280000 1.2788
281000 1.27948
282000 1.27913
283000 1.27881
284000 1.28026
285000 1.27771
286000 1.27634
287000 1.27876
288000 1.2746
289000 1.27617
290000 1.27845
291000 1.27556
292000 1.27939
293000 1.27688
294000 1.2758
295000 1.27801
296000 1.2767
297000 1.27558
298000 1.27639
299000 1.27838
300000 1.27818
301000 1.27569
302000 1.27789
303000 1.27658
304000 1.27726
305000 1.27864
306000 1.27835
307000 1.27805
308000 1.27887
309000 1.28051
310000 1.27917
311000 1.27853
312000 1.27681
313000 1.27734
314000 1.27756
315000 1.27765
316000 1.27749
317000 1.27787
318000 1.28112
319000 1.2827
320000 1.27844
321000 1.27785
322000 1.27692
323000 1.27833
324000 1.27979
325000 1.28087
326000 1.27981
327000 1.27878
328000 1.27797
329000 1.27741
330000 1.27648
331000 1.27639
332000 1.27806
333000 1.2798
334000 1.27772
335000 1.27766
336000 1.27856
337000 1.2783
338000 1.28034
339000 1.27754
340000 1.27703
341000 1.27572
342000 1.27559
343000 1.27882
344000 1.27923
345000 1.27513
346000 1.27563
347000 1.27558
348000 1.27721
349000 1.28026
350000 1.27973
351000 1.27973
352000 1.27718
353000 1.27768
354000 1.27918
355000 1.2784
356000 1.27589
357000 1.27567
358000 1.27687
359000 1.27519
360000 1.27817
361000 1.27697
362000 1.27869
363000 1.27893
364000 1.27933
365000 1.2791
366000 1.27732
367000 1.27912
368000 1.27866
369000 1.27705
370000 1.27716
371000 1.28115
372000 1.27917
373000 1.27877
374000 1.27799
375000 1.27963
376000 1.27975
377000 1.27866
378000 1.27777
379000 1.27754
380000 1.27772
381000 1.27979
382000 1.27896
383000 1.27789
384000 1.27773
385000 1.27642
386000 1.27706
387000 1.27793
388000 1.27912
389000 1.27913
390000 1.27722
391000 1.27951
392000 1.27884
393000 1.2791
394000 1.27828
395000 1.276
396000 1.27565
397000 1.27627
398000 1.27616
399000 1.27998
400000 1.28019
401000 1.28016
402000 1.27733
403000 1.27936
404000 1.27713
405000 1.27541
406000 1.27949
407000 1.28038
408000 1.28122
409000 1.27876
410000 1.27932
411000 1.27936
412000 1.27781
413000 1.27984
414000 1.27767
415000 1.27706
416000 1.27717
417000 1.27845
418000 1.27982
419000 1.2789
420000 1.27676
421000 1.27916
422000 1.27646
423000 1.27976
424000 1.27859
425000 1.27904
426000 1.27639
427000 1.27833
428000 1.27581
429000 1.27688
430000 1.27855
431000 1.2795
432000 1.2793
433000 1.2812
434000 1.2792
435000 1.2786
436000 1.27742
437000 1.27858
438000 1.28069
439000 1.28005
440000 1.27909
441000 1.28031
442000 1.28049
443000 1.27704
444000 1.27767
445000 1.27889
446000 1.27795
447000 1.27511
448000 1.27634
449000 1.27522
450000 1.27963
451000 1.27742
452000 1.27408
453000 1.2745
454000 1.27808
455000 1.27882
456000 1.27651
457000 1.27634
458000 1.27602
459000 1.27356
460000 1.27461
461000 1.27788
462000 1.27778
463000 1.27665
464000 1.27609
465000 1.27573
466000 1.27417
467000 1.2749
468000 1.27565
469000 1.27649
470000 1.27589
471000 1.27891
472000 1.27968
473000 1.27947
474000 1.27881
475000 1.27917
476000 1.27999
477000 1.2794
478000 1.27915
479000 1.2769
480000 1.27898
481000 1.2771
482000 1.27606
483000 1.27775
484000 1.27787
485000 1.27588
486000 1.27697
487000 1.27616
488000 1.27715
489000 1.281
490000 1.28057
491000 1.27985
492000 1.27883
493000 1.27722
494000 1.28035
495000 1.27719
496000 1.27606
497000 1.2763
498000 1.28019
499000 1.27932
500000 1.27723
