# Time-averaged data for fix myat2
# TimeStep v_kinetic_energy
417000 1.50034
418000 1.49757
419000 1.49552
420000 1.50691
421000 1.48903
422000 1.4958
423000 1.49743
424000 1.49308
425000 1.50701
426000 1.51168
427000 1.50822
428000 1.49796
429000 1.50452
430000 1.50343
431000 1.50381
432000 1.50819
433000 1.50947
434000 1.51154
435000 1.50864
436000 1.50864
437000 1.51138
438000 1.51469
439000 1.51463
440000 1.51567
441000 1.51596
442000 1.51543
443000 1.52427
444000 1.52225
445000 1.5204
446000 1.51721
447000 1.51242
448000 1.50927
449000 1.51149
450000 1.51872
451000 1.52078
452000 1.5202
453000 1.51368
454000 1.50911
455000 1.49886
456000 1.50868
457000 1.51434
458000 1.51758
459000 1.51209
460000 1.51501
461000 1.50967
462000 1.50951
463000 1.51318
464000 1.51405
465000 1.5189
466000 1.51661
467000 1.51181
468000 1.52034
469000 1.51746
470000 1.51014
471000 1.51364
472000 1.50892
473000 1.50348
474000 1.5104
475000 1.51104
476000 1.50246
477000 1.50651
478000 1.51177
479000 1.51088
480000 1.50278
481000 1.49761
482000 1.49376
483000 1.49269
484000 1.49491
485000 1.49684
486000 1.48729
487000 1.49402
488000 1.49334
489000 1.49377
490000 1.49133
491000 1.49316
492000 1.50343
493000 1.50764
494000 1.50251
495000 1.50602
496000 1.51732
497000 1.51421
498000 1.50248
499000 1.51718
500000 1.51567
