# Time-averaged data for fix myat3
# TimeStep v_potential_energy
203000 -0.22269
204000 -0.21562
205000 -0.205757
206000 -0.215956
207000 -0.214471
208000 -0.221381
209000 -0.223196
210000 -0.226921
211000 -0.218655
212000 -0.224983
213000 -0.21526
214000 -0.231249
215000 -0.215435
216000 -0.227304
217000 -0.219671
218000 -0.214789
219000 -0.214467
220000 -0.207275
221000 -0.217948
222000 -0.219541
223000 -0.218217
224000 -0.224147
225000 -0.21576
226000 -0.212516
227000 -0.212414
228000 -0.222033
229000 -0.22365
230000 -0.223416
231000 -0.223806
232000 -0.223813
233000 -0.225139
234000 -0.227487
235000 -0.231494
236000 -0.240554
237000 -0.238577
238000 -0.226832
239000 -0.230327
240000 -0.223782
241000 -0.212898
242000 -0.219974
243000 -0.223286
244000 -0.225003
245000 -0.227031
246000 -0.214934
247000 -0.211695
248000 -0.21447
249000 -0.218708
250000 -0.224661
251000 -0.215042
252000 -0.203429
253000 -0.213468
254000 -0.219531
255000 -0.228006
256000 -0.233236
257000 -0.229758
258000 -0.228515
259000 -0.237354
260000 -0.235407
261000 -0.22613
262000 -0.228004
263000 -0.2213
264000 -0.219122
265000 -0.218706
266000 -0.231363
267000 -0.2305
268000 -0.234093
269000 -0.231097
270000 -0.240973
271000 -0.238822
272000 -0.226868
273000 -0.227626
274000 -0.230269
275000 -0.234099
276000 -0.234215
277000 -0.22731
278000 -0.229346
279000 -0.218713
280000 -0.225896
281000 -0.224169
282000 -0.222328
283000 -0.217893
284000 -0.221379
285000 -0.224172
286000 -0.22156
287000 -0.220713
288000 -0.23741
289000 -0.23791
290000 -0.226428
291000 -0.22569
292000 -0.222809
293000 -0.225439
294000 -0.246577
295000 -0.23343
296000 -0.232582
297000 -0.229721
298000 -0.233409
299000 -0.22672
300000 -0.232561
301000 -0.240074
302000 -0.245667
303000 -0.244416
304000 -0.233071
305000 -0.234415
306000 -0.23942
307000 -0.237122
308000 -0.228823
309000 -0.232286
310000 -0.227168
311000 -0.23023
312000 -0.228297
313000 -0.227156
314000 -0.222385
315000 -0.231574
316000 -0.235352
317000 -0.230593
318000 -0.22228
319000 -0.21079
320000 -0.218744
321000 -0.220071
322000 -0.231943
323000 -0.226759
324000 -0.224687
325000 -0.220335
326000 -0.217839
327000 -0.227874
328000 -0.229881
329000 -0.223942
330000 -0.232168
331000 -0.23559
332000 -0.232879
333000 -0.232647
334000 -0.234707
335000 -0.231927
336000 -0.235565
337000 -0.238263
338000 -0.234332
339000 -0.239926
340000 -0.238763
341000 -0.238389
342000 -0.234027
343000 -0.231623
344000 -0.235635
345000 -0.23665
346000 -0.228884
347000 -0.225742
348000 -0.226268
349000 -0.213769
350000 -0.216377
351000 -0.22452
352000 -0.221373
353000 -0.223055
354000 -0.224313
355000 -0.218513
356000 -0.22828
357000 -0.23472
358000 -0.234109
359000 -0.235238
360000 -0.222966
361000 -0.231647
362000 -0.22915
363000 -0.225273
364000 -0.228683
365000 -0.229443
366000 -0.229975
367000 -0.219599
368000 -0.220514
369000 -0.228432
370000 -0.216155
371000 -0.211829
372000 -0.220362
373000 -0.221667
374000 -0.226871
375000 -0.219195
376000 -0.215076
377000 -0.222624
378000 -0.231743
379000 -0.222741
380000 -0.224265
381000 -0.220717
382000 -0.214802
383000 -0.219822
384000 -0.22132
385000 -0.233272
386000 -0.232724
387000 -0.21878
388000 -0.22818
389000 -0.224972
390000 -0.218754
391000 -0.212707
392000 -0.215097
393000 -0.208892
394000 -0.222392
395000 -0.226177
396000 -0.224818
397000 -0.226157
398000 -0.229171
399000 -0.217444
400000 -0.221352
401000 -0.216127
402000 -0.22
403000 -0.228453
404000 -0.230137
405000 -0.23365
406000 -0.221934
407000 -0.226651
408000 -0.219916
409000 -0.223711
410000 -0.221133
411000 -0.222018
412000 -0.230362
413000 -0.225106
414000 -0.23322
415000 -0.221007
416000 -0.22634
417000 -0.221884
418000 -0.217751
419000 -0.216619
420000 -0.230152
421000 -0.209871
422000 -0.219343
423000 -0.21767
424000 -0.214486
425000 -0.227971
426000 -0.235292
427000 -0.229892
428000 -0.222142
429000 -0.227638
430000 -0.22488
431000 -0.224301
432000 -0.228891
433000 -0.228275
434000 -0.232341
435000 -0.230035
436000 -0.231219
437000 -0.232795
438000 -0.234005
439000 -0.234582
440000 -0.236579
441000 -0.235651
442000 -0.23494
443000 -0.247225
444000 -0.244583
445000 -0.241511
446000 -0.239264
447000 -0.237308
448000 -0.232931
449000 -0.236276
450000 -0.239091
451000 -0.243367
452000 -0.246128
453000 -0.239177
454000 -0.231026
455000 -0.220043
456000 -0.232168
457000 -0.238004
458000 -0.241565
459000 -0.238537
460000 -0.240403
461000 -0.231794
462000 -0.231732
463000 -0.236532
464000 -0.237962
465000 -0.243165
466000 -0.242432
467000 -0.236908
468000 -0.244686
469000 -0.240965
470000 -0.234259
471000 -0.234725
472000 -0.229246
473000 -0.224008
474000 -0.231589
475000 -0.231866
476000 -0.222466
477000 -0.227118
478000 -0.232622
479000 -0.233976
480000 -0.223799
481000 -0.220514
482000 -0.217694
483000 -0.214943
484000 -0.217044
485000 -0.220967
486000 -0.210317
487000 -0.217859
488000 -0.216181
489000 -0.212777
490000 -0.210763
491000 -0.213309
492000 -0.224598
493000 -0.230412
494000 -0.222162
495000 -0.228826
496000 -0.241261
497000 -0.237911
498000 -0.222292
499000 -0.237861
500000 -0.238439
