# Time-averaged data for fix myat1
# TimeStep v_delta_r
53300 5.83811
53400 5.72675
53500 5.7069
53600 5.31644
53700 4.78188
53800 4.41204
53900 3.77001
54000 3.47632
54100 3.8226
54200 4.59699
54300 5.51716
54400 5.97724
54500 6.05414
54600 6.38607
54700 7.02558
54800 7.25714
54900 7.3406
55000 7.4939
55100 7.89843
55200 8.21119
55300 8.68011
55400 8.86273
55500 8.94641
55600 8.82514
55700 8.5557
55800 8.45874
55900 8.46781
56000 8.02411
56100 8.2672
56200 8.74154
56300 9.04349
56400 8.98946
56500 8.75361
56600 8.54182
56700 8.38977
56800 8.25942
56900 7.98084
57000 7.35329
57100 6.27965
57200 5.61238
57300 5.29445
57400 5.07585
57500 5.14124
57600 5.3909
57700 5.59862
57800 5.71557
57900 5.50271
58000 5.08646
58100 4.58846
58200 4.3262
58300 4.28815
58400 5.06508
58500 5.37025
58600 5.14598
58700 5.50258
58800 5.61821
58900 5.8802
59000 5.85854
59100 5.80224
59200 5.60971
59300 5.43087
59400 5.48741
59500 5.4647
59600 5.13656
59700 4.86783
59800 5.17195
59900 4.99005
60000 4.57213
60100 4.8389
60200 4.94837
60300 5.00535
60400 5.22397
60500 5.02585
60600 4.82551
60700 4.66978
60800 4.70245
60900 4.73905
61000 4.53097
61100 4.64677
61200 4.76505
61300 4.95964
61400 5.00031
61500 5.06559
61600 4.87857
61700 4.77807
61800 4.61185
61900 4.33818
62000 4.70454
62100 4.99886
62200 5.13209
62300 4.84922
62400 4.50673
62500 3.90401
62600 3.61604
62700 3.75818
62800 4.49201
62900 4.96432
63000 5.6062
63100 6.18126
63200 5.97926
63300 5.89547
63400 5.77426
63500 5.82177
63600 6.31241
63700 6.67222
63800 6.59043
63900 6.37115
64000 6.05901
64100 5.68356
64200 5.51777
64300 4.87057
64400 4.37683
64500 4.45308
64600 4.79957
64700 5.15202
64800 5.35339
64900 5.22598
65000 5.25747
65100 5.44879
65200 6.24386
65300 7.07686
65400 7.73431
65500 8.07742
65600 8.09952
65700 8.01503
65800 7.80334
65900 7.63295
66000 7.68701
66100 7.6903
66200 7.90758
66300 7.96026
66400 8.20838
66500 8.09052
66600 7.31267
66700 7.05286
66800 7.41993
66900 7.96036
67000 8.17711
67100 7.73533
67200 7.17901
67300 7.19195
67400 7.05314
67500 6.96767
67600 6.71603
67700 6.67977
67800 6.54713
67900 6.45502
68000 6.21358
68100 6.27806
68200 6.73056
68300 7.24863
68400 7.46188
68500 7.55614
68600 7.46292
68700 7.01027
68800 6.78894
68900 6.75185
69000 6.87718
69100 7.0222
69200 7.02609
69300 7.15991
69400 7.22385
69500 6.86842
69600 6.60025
69700 6.72002
69800 6.73384
69900 6.56951
70000 6.77647
70100 7.13628
70200 7.22577
70300 6.90441
70400 6.31697
70500 6.0143
70600 6.20209
70700 6.55603
70800 6.51717
70900 6.36059
71000 6.41541
71100 6.55004
71200 6.32962
71300 5.9213
71400 5.99909
71500 6.32475
71600 6.76128
71700 7.02444
71800 6.96072
71900 6.9776
72000 6.98557
72100 6.97392
72200 6.89719
72300 7.11455
72400 7.23896
72500 7.1139
72600 7.00243
72700 7.06241
72800 6.99829
72900 6.83993
73000 6.93097
73100 7.2995
73200 7.90336
73300 8.09322
73400 8.01149
73500 7.77604
73600 7.83923
73700 8.15904
73800 8.44741
73900 8.6562
74000 9.09672
74100 9.17191
74200 8.99269
74300 8.82744
74400 9.02841
74500 8.99084
74600 9.17386
74700 9.49444
74800 9.343
74900 9.21085
75000 9.31977
75100 9.33474
75200 9.63093
75300 9.71178
75400 9.74588
75500 9.80152
75600 9.83372
75700 9.68338
75800 9.21716
75900 8.51277
76000 8.00298
76100 7.32339
76200 7.09924
76300 7.67016
76400 7.86036
76500 7.90928
76600 7.88138
76700 7.4556
76800 7.04171
76900 6.87029
77000 6.84742
77100 7.08463
77200 7.29792
77300 7.13181
77400 6.91324
77500 6.68566
77600 6.19315
77700 6.21245
77800 6.22207
77900 5.56249
78000 5.59373
78100 5.92444
78200 5.89163
78300 5.65629
78400 5.92349
78500 6.54038
78600 7.15995
78700 7.3796
78800 7.59912
78900 7.63244
79000 7.5824
79100 7.37897
79200 7.26466
79300 7.58175
79400 7.57074
79500 7.63566
79600 8.17598
79700 8.60033
79800 9.20064
79900 9.56785
80000 9.74373
80100 9.93546
80200 10.0136
80300 10.042
80400 10.2169
80500 10.2355
80600 9.88777
80700 9.51991
80800 9.05599
80900 8.51503
81000 8.17325
81100 7.93445
81200 7.86785
81300 7.7391
81400 7.94385
81500 8.41021
81600 8.88996
81700 9.38479
81800 9.6671
81900 9.71927
82000 9.54553
82100 9.78247
82200 9.59565
82300 9.56145
82400 9.31076
82500 9.21687
82600 8.87516
82700 8.5134
82800 8.44619
82900 8.71102
83000 8.81687
83100 8.80538
83200 8.73726
83300 8.58249
83400 8.21337
83500 7.98203
83600 8.07001
83700 8.26848
83800 8.40713
83900 8.49037
84000 8.43272
84100 8.06593
84200 7.59755
84300 7.16175
84400 6.412
84500 5.72759
84600 5.24185
84700 4.9695
84800 4.90068
84900 5.18997
85000 5.69038
85100 5.85932
85200 6.04456
85300 6.446
85400 6.88646
85500 6.78601
85600 6.16719
85700 5.60109
85800 5.153
85900 4.919
86000 4.66241
86100 5.12061
86200 5.58413
86300 5.72045
86400 5.67918
86500 5.43953
86600 4.99673
86700 4.54853
86800 4.13319
86900 3.42644
87000 3.147
87100 3.45163
87200 3.16331
87300 3.09192
87400 3.03145
87500 3.74752
87600 4.9005
87700 5.74817
87800 6.05701
87900 6.09206
88000 5.93437
88100 5.52693
88200 5.44939
88300 5.52452
88400 5.8173
88500 5.98193
88600 6.03433
88700 6.0896
88800 6.23678
88900 6.30284
89000 6.7213
89100 7.15552
89200 7.67513
89300 7.89684
89400 8.14786
89500 8.65673
89600 9.32084
89700 10.1249
89800 10.8409
89900 11.3686
90000 11.822
90100 12.0021
90200 12.1889
90300 12.4529
90400 12.6503
90500 13.0237
90600 13.3134
