# Time-averaged data for fix myat1
# TimeStep v_delta_r
87100 13.1289
87200 13.4812
87300 13.4193
87400 13.3792
87500 13.524
87600 13.3599
87700 13.3605
87800 13.2673
87900 12.9074
88000 12.6801
88100 13.1753
88200 13.7444
88300 14.1456
88400 14.187
88500 13.8902
88600 12.6843
88700 12.1189
88800 12.6094
88900 13.3825
89000 13.3756
89100 13.1182
89200 13.2207
89300 13.436
89400 13.086
89500 12.5071
89600 12.2587
89700 12.2462
89800 12.4334
89900 12.9778
90000 13.111
90100 12.8041
90200 13.0078
90300 13.472
90400 13.6754
90500 13.6508
90600 13.1548
90700 13.1145
90800 13.3133
90900 13.4838
91000 13.6315
91100 13.7776
91200 13.7476
91300 13.2615
91400 12.9567
91500 12.5736
91600 12.3666
91700 12.4534
91800 12.9121
91900 13.1788
92000 13.1306
92100 13.1283
92200 12.9684
92300 12.6731
92400 12.7235
92500 13.2466
92600 13.752
92700 14.2295
92800 14.4487
92900 14.3613
93000 14.3902
93100 14.2273
93200 14.1434
93300 14.1191
93400 14.2737
93500 13.9695
93600 13.6959
93700 13.8372
93800 14.0445
93900 14.5084
94000 14.5469
94100 14.565
94200 14.5015
94300 14.2239
94400 14.2266
94500 13.8773
94600 14.1831
94700 14.5987
94800 14.5445
94900 14.7643
95000 14.8926
95100 14.4996
95200 13.9495
95300 13.8803
95400 13.6732
95500 13.783
95600 14.1979
95700 14.2482
95800 13.949
95900 13.63
96000 13.6383
96100 13.5892
96200 14.1823
96300 14.5915
96400 14.6046
96500 14.5406
96600 14.6568
96700 15.0564
96800 15.3436
96900 15.4894
97000 15.2307
97100 14.9753
97200 14.7988
97300 14.3479
97400 13.8415
97500 13.6553
97600 13.3084
97700 13.017
97800 12.8628
97900 13.0256
98000 13.285
98100 13.2952
98200 12.7809
98300 12.3222
98400 12.1798
98500 12.5882
98600 13.2575
98700 13.3689
98800 13.6876
98900 13.7461
99000 13.844
99100 13.8131
99200 13.5512
99300 13.3402
99400 13.263
99500 13.6788
99600 13.6439
99700 13.2358
99800 13.0172
99900 13.0938
100000 13.0422
