# Time-averaged data for fix myat1
# TimeStep v_n_center1 v_n_center2
717000 0 60
718000 0 60
719000 0 60
720000 0 60
721000 0.02 60
722000 0.08 60
723000 0 60
724000 0 60
725000 0 60
726000 0 60
727000 0 60
728000 0 60
729000 0 60
730000 0 60
731000 0 60
732000 0 60
733000 0 60
734000 0 60
735000 0 60
736000 0 60
737000 0 60
738000 0 60
739000 0 60
740000 0 59.98
741000 0 60
742000 0 60
743000 0 60
744000 0 60
745000 0 60
746000 0 60
747000 0 60
748000 0 60
749000 0 60
750000 0 60
751000 0 60
752000 0 60
753000 0 60
754000 0 59.99
755000 0 60
756000 0 60
757000 0 60
758000 0 60
759000 0 60
760000 0 60
761000 0 60
762000 0 60
763000 0 60
764000 0 60
765000 0 60
766000 0 60
767000 0 60
768000 0 60
769000 0 60
770000 0 60
771000 0 60
772000 0 60
773000 0 60
774000 0 60
775000 0 60
776000 0 60
777000 0 60
778000 0 60
779000 0 60
780000 0 60
781000 0 60
782000 0 60
783000 0 60
784000 0 59.98
785000 0 59.97
786000 0 60
787000 0 60
788000 0 60
789000 0 60
790000 0 60
791000 0 60
792000 0 60
793000 0 60
794000 0 60
795000 0 60
796000 0 60
797000 0 60
798000 0 60
799000 0 60
800000 0 60
801000 0 60
802000 0 60
803000 0 60
804000 0 60
805000 0 60
806000 0 60
807000 0 60
808000 0 60
809000 0 60
810000 0 60
811000 0 60
812000 0 60
813000 0 60
814000 0 60
815000 0 60
816000 0 60
817000 0 60
818000 0 60
819000 0 60
820000 0 60
821000 0 60
822000 0 60
823000 0 60
824000 0 60
825000 0 60
826000 0 60
827000 0 60
828000 0 60
829000 0 60
830000 0 60
831000 0 60
832000 0 60
833000 0 60
834000 0 60
835000 0 60
836000 0 60
837000 0 60
838000 0 60
839000 0 60
840000 0 60
841000 0 60
842000 0 60
843000 0 60
844000 0 60
845000 0 60
846000 0 60
847000 0 60
848000 0 60
849000 0 60
850000 0 60
851000 0 60
852000 0 60
853000 0 60
854000 0.03 60
855000 0 60
856000 0 60
857000 0 60
858000 0 60
859000 0 60
860000 0 60
861000 0 60
862000 0 60
863000 0 60
864000 0 60
865000 0 60
866000 0 60
867000 0 60
868000 0 60
869000 0 60
870000 0 60
871000 0 60
872000 0 60
873000 0 60
874000 0 60
875000 0 60
876000 0 60
877000 0 60
878000 0 60
879000 0 60
880000 0 60
881000 0 60
882000 0 60
883000 0 60
884000 0 60
885000 0 60
886000 0 59.97
887000 0 59.99
888000 0 60
889000 0 60
890000 0 60
891000 0 60
892000 0 60
893000 0 60
894000 0 60
895000 0 60
896000 0 60
897000 0 60
898000 0 60
899000 0 60
900000 0 60
901000 0 60
902000 0 60
903000 0 60
904000 0 60
905000 0 60
906000 0 60
907000 0 60
908000 0 60
909000 0 60
910000 0 60
911000 0 60
912000 0 60
913000 0 60
914000 0 60
915000 0 60
916000 0 60
917000 0 60
918000 0 60
919000 0 60
920000 0 60
921000 0 60
922000 0 60
923000 0 60
924000 0 60
925000 0 60
926000 0 60
927000 0 60
928000 0 60
929000 0 60
930000 0 60
931000 0 60
932000 0 60
933000 0 60
934000 0 60
935000 0 60
936000 0 60
937000 0 60
938000 0 60
939000 0 60
940000 0 60
941000 0 60
942000 0 60
943000 0 60
944000 0 60
945000 0 60
946000 0 60
947000 0 60
948000 0 60
949000 0 60
950000 0 60
951000 0 60
952000 0 60
953000 0 60
954000 0 60
955000 0 60
956000 0 60
957000 0 60
958000 0 60
959000 0 60
960000 0 60
961000 0 60
962000 0 60
963000 0 60
964000 0 60
965000 0 60
966000 0 60
967000 0 60
968000 0 60
969000 0 60
970000 0 60
971000 0 60
972000 0 60
973000 0 60
974000 0 60
975000 0 60
976000 0 60
977000 0 60
978000 0 60
979000 0 60
980000 0 60
981000 0 60
982000 0 60
983000 0 60
984000 0 60
985000 0 60
986000 0 60
987000 0 60
988000 0 60
989000 0 60
990000 0 60
991000 0 60
992000 0 60
993000 0 60
994000 0 60
995000 0 60
996000 0 60
997000 0 60
998000 0 60
999000 0 60
1000000 0 60
1001000 0 60
1002000 0 60
1003000 0 60
1004000 0 60
1005000 0 60
1006000 0 60
1007000 0 60
1008000 0 60
1009000 0 60
1010000 0 60
1011000 0 60
1012000 0 60
1013000 0 60
1014000 0 60
1015000 0 60
1016000 0 60
1017000 0.02 60
1018000 0 60
1019000 0 60
1020000 0 60
1021000 0 60
1022000 0 60
1023000 0 60
1024000 0 60
1025000 0 60
1026000 0 60
1027000 0 60
1028000 0 60
1029000 0 60
1030000 0 60
1031000 0 60
1032000 0 60
1033000 0 60
1034000 0 60
1035000 0 60
1036000 0 60
1037000 0 60
1038000 0 60
1039000 0 60
1040000 0 60
1041000 0 60
1042000 0 60
1043000 0 60
1044000 0 60
1045000 0 60
1046000 0 60
1047000 0 60
1048000 0 60
1049000 0 60
1050000 0 60
1051000 0 60
1052000 0 60
1053000 0 60
1054000 0 60
1055000 0 60
1056000 0 60
1057000 0 60
1058000 0 60
1059000 0 60
1060000 0 60
1061000 0 60
1062000 0 60
1063000 0 60
1064000 0 60
1065000 0 60
1066000 0 60
1067000 0 60
1068000 0 60
1069000 0 60
1070000 0 60
1071000 0 60
1072000 0 60
1073000 0 60
1074000 0 60
1075000 0 60
1076000 0 60
1077000 0 60
1078000 0 60
1079000 0 60
1080000 0 60
1081000 0 60
1082000 0 60
1083000 0 60
1084000 0 60
1085000 0 60
1086000 0 60
1087000 0 60
1088000 0 60
1089000 0 60
1090000 0 60
1091000 0 60
1092000 0 60
1093000 0 60
1094000 0 60
1095000 0 60
1096000 0.03 60
1097000 0 60
1098000 0 60
1099000 0 60
1100000 0 60
1101000 0 60
1102000 0 60
1103000 0 60
1104000 0 60
1105000 0 60
1106000 0 60
1107000 0 60
1108000 0 60
1109000 0 60
1110000 0 60
1111000 0 60
1112000 0 60
1113000 0 60
1114000 0 60
1115000 0 60
1116000 0 60
1117000 0 60
1118000 0 60
1119000 0 60
1120000 0 60
1121000 0 60
1122000 0 60
1123000 0 60
1124000 0 60
1125000 0 60
1126000 0 60
1127000 0 60
1128000 0 60
1129000 0 60
1130000 0 60
1131000 0 60
1132000 0 60
1133000 0 60
1134000 0 60
1135000 0 60
1136000 0 60
1137000 0 60
1138000 0 60
1139000 0 60
1140000 0 60
1141000 0 60
1142000 0 60
1143000 0 60
1144000 0 60
1145000 0 60
1146000 0 60
1147000 0 60
1148000 0 60
1149000 0 60
1150000 0 60
1151000 0 60
1152000 0 60
1153000 0 60
1154000 0 60
1155000 0 60
1156000 0 60
1157000 0 60
1158000 0 60
1159000 0 60
1160000 0 60
1161000 0 60
1162000 0 60
1163000 0 60
1164000 0 60
1165000 0 60
1166000 0 60
1167000 0 60
1168000 0 60
1169000 0 60
1170000 0 60
1171000 0 60
1172000 0 60
1173000 0 60
1174000 0 60
1175000 0 60
1176000 0 60
1177000 0 60
1178000 0 60
1179000 0 60
1180000 0 60
1181000 0 60
1182000 0 60
1183000 0 60
1184000 0 60
1185000 0 60
1186000 0 60
1187000 0 60
1188000 0 60
1189000 0 60
1190000 0 60
1191000 0 60
1192000 0 60
1193000 0 60
1194000 0 60
1195000 0 60
1196000 0 60
1197000 0 60
1198000 0 60
1199000 0 60
1200000 0 60
1201000 0 60
1202000 0 60
1203000 0 60
1204000 0 60
1205000 0 60
1206000 0 60
1207000 0 60
1208000 0 60
1209000 0 60
1210000 0 60
1211000 0 60
1212000 0 60
1213000 0 60
1214000 0 60
1215000 0 60
1216000 0 60
1217000 0 60
1218000 0 60
1219000 0 60
1220000 0 60
1221000 0 60
1222000 0 60
1223000 0 60
1224000 0 60
1225000 0 60
1226000 0 60
1227000 0 60
1228000 0 60
1229000 0 60
1230000 0 60
1231000 0 60
1232000 0 60
1233000 0 60
1234000 0 60
1235000 0 60
1236000 0 60
1237000 0 60
1238000 0 60
1239000 0 60
1240000 0 60
1241000 0 60
1242000 0 60
1243000 0 60
1244000 0 60
1245000 0 60
1246000 0 60
1247000 0 60
1248000 0 60
1249000 0 60
1250000 0 60
1251000 0 60
1252000 0 60
1253000 0 60
1254000 0.01 60
1255000 0 60
1256000 0 60
1257000 0 60
1258000 0 60
1259000 0 60
1260000 0 60
1261000 0 60
1262000 0 60
1263000 0 60
1264000 0 60
1265000 0 60
1266000 0 60
