# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000 50 60.00000000000001
  6 -19.5 1.305 0.00261
  7 -18.5 0.659 0.001318
  8 -17.5 1.185 0.00237
  9 -16.5 1.422 0.002844
  10 -15.5 0.841 0.001682
  11 -14.5 2.593 0.005186
  12 -13.5 2.681 0.005362
  13 -12.5 1.717 0.003434
  14 -11.5 1.469 0.002938
  15 -10.5 1.191 0.002382
  16 -9.5 1.223 0.002446
  17 -8.5 1.048 0.002096
  18 -7.5 1.266 0.002532
  19 -6.5 1.503 0.003006
  20 -5.5 1.53 0.00306
  21 -4.5 0.144 0.000288
  22 -3.5 0 0
  23 -2.5 0 0
  24 -1.5 0 0
  25 -0.5 0.26 0.00052
  26 0.5 0.281 0.000562
  27 1.5 0.197 0.000394
  28 2.5 0.253 0.000506
  29 3.5 0.009 1.8e-05
  30 4.5 0.014 2.8e-05
  31 5.5 1.137 0.002274
  32 6.5 1.464 0.002928
  33 7.5 0.492 0.000984
  34 8.5 1.274 0.002548
  35 9.5 1.51 0.00302
  36 10.5 1.492 0.002984
  37 11.5 1.715 0.00343
  38 12.5 1.806 0.003612
  39 13.5 2.113 0.004226
  40 14.5 2.311 0.004622
  41 15.5 2.633 0.005266
  42 16.5 1.281 0.002562
  43 17.5 0.914 0.001828
  44 18.5 0.468 0.000936
  45 19.5 1.779 0.003558
  46 20.5 2.651 0.005302
  47 21.5 0.893 0.001786
  48 22.5 1.047 0.002094
  49 23.5 1.512 0.003024
  50 24.5 2.404 0.004808
100000 50 60.00000000000001
  1 -24.5 0.991 0.001982
  2 -23.5 1.208 0.002416
  3 -22.5 1.576 0.003152
  4 -21.5 1.517 0.003034
  5 -20.5 1.949 0.003898
  6 -19.5 0.867 0.001734
  7 -18.5 0.793 0.001586
  8 -17.5 1.487 0.002974
  9 -16.5 2.684 0.005368
  10 -15.5 2.256 0.004512
  11 -14.5 2.332 0.004664
