# Time-averaged data for fix myat1
# TimeStep v_velx
56900 0.00732695
57000 0.00539902
57100 0.00354062
57200 0.000869973
57300 0.0090422
57400 0.00384967
57500 0.00841348
57600 0.00458293
57700 0.00713449
57800 0.00989846
57900 0.00788183
58000 0.00486631
58100 0.00555245
58200 0.00360964
58300 0.00144443
58400 0.0094412
58500 0.00350617
58600 0.0029542
58700 0.00276373
58800 0.00329285
58900 0.00533885
59000 0.00522209
59100 0.000348965
59200 0.00292346
59300 0.00363787
59400 0.00120223
59500 0.00627429
59600 0.00873269
59700 0.0112359
59800 0.00485138
59900 0.0033367
60000 0.00607794
60100 0.00564984
60200 0.00344468
60300 0.00285495
60400 0.00423842
60500 0.00508348
60600 0.00318762
60700 0.0076736
60800 0.00233429
60900 9.9583e-05
61000 0.00937956
61100 0.0073152
61200 0.0129528
61300 0.00775608
61400 0.000159475
61500 0.00726887
61600 0.00422958
61700 0.00521716
61800 0.00244527
61900 0.00647702
62000 0.00204738
62100 0.0040648
62200 0.00868256
62300 0.00234204
62400 -0.000773767
62500 0.00529744
62600 0.0053135
62700 0.0044111
62800 -0.0046584
62900 0.00495187
63000 0.000586833
63100 -0.00550527
63200 0.00476731
63300 0.00590983
63400 0.0020344
63500 0.000793736
63600 0.0111961
63700 0.00409505
63800 0.00331946
63900 0.00519584
64000 0.00493463
64100 0.00291927
64200 0.00362886
64300 0.0121383
64400 0.00550842
64500 0.00312849
64600 0.00354609
64700 0.00463819
64800 0.0033361
64900 0.00266945
65000 0.00434173
65100 0.00723822
65200 -0.00384029
65300 0.0040067
65400 0.00731542
65500 0.00353885
65600 0.00580499
65700 0.00415387
65800 0.000391996
65900 0.00521876
66000 0.00767205
66100 0.00893669
66200 0.0037868
66300 -0.00116553
66400 0.00431024
66500 -0.0012474
66600 -0.000550961
66700 0.00338606
66800 -0.00146575
66900 0.000187843
67000 0.00862607
67100 0.0059793
67200 -0.00453635
67300 -0.00512201
67400 0.00337113
67500 0.00889962
67600 0.00524264
67700 0.00600504
67800 0.00096107
67900 0.0032195
68000 0.00238855
68100 0.00392856
68200 0.00915662
68300 0.00729448
68400 0.00278577
68500 0.0035144
68600 0.00693993
68700 0.00218396
68800 0.00593499
68900 0.00431737
69000 0.00915456
69100 0.00541148
69200 0.000821292
69300 0.00564734
69400 0.00764874
69500 0.00825593
69600 0.00334011
69700 0.00527623
69800 -0.0079433
69900 0.000871303
70000 0.006507
70100 0.00448398
70200 0.00265916
70300 0.00514673
70400 0.004201
70500 0.00674185
70600 0.00189381
70700 0.00737213
70800 0.000216376
70900 -0.00103975
71000 0.00435904
71100 0.0099522
71200 0.00508399
71300 0.00636935
71400 0.00823898
71500 0.00495489
71600 0.00475181
71700 0.00449162
71800 0.00699173
71900 0.00805597
72000 0.00726691
72100 0.00349729
72200 0.00340564
72300 -0.00300237
72400 0.011988
72500 0.00221966
72600 0.00912728
72700 0.0103431
72800 0.0062513
72900 0.00308242
73000 0.000636028
73100 0.00308207
73200 0.00586174
73300 0.00856137
73400 0.00306589
73500 0.00532311
73600 0.0109851
73700 0.00269542
73800 0.00658137
73900 -0.00394605
74000 0.00797372
74100 0.000246739
74200 0.00616149
74300 0.0043663
74400 0.00271876
74500 0.00225006
74600 0.00207262
74700 0.00109944
74800 -0.00471145
74900 0.00452676
75000 -0.00036106
75100 0.00798636
75200 0.00684486
75300 0.00729744
75400 -0.000793573
75500 0.00481723
75600 0.00844844
75700 0.00319604
75800 0.004164
75900 0.0100268
76000 0.00244803
76100 0.00643398
76200 0.00705272
76300 -0.000708391
76400 -0.00480685
76500 0.00908107
76600 0.00836452
76700 0.00347469
76800 0.00876389
76900 0.00616435
77000 0.00159764
77100 0.00173301
77200 0.00500858
77300 0.00257723
77400 0.00834981
77500 0.00457433
77600 0.00984981
77700 0.00779977
77800 0.00684696
77900 0.00528571
78000 0.0059245
78100 0.00436098
78200 0.0096038
78300 0.0106383
78400 -0.000997014
78500 0.00599874
78600 0.00447634
78700 1.89992e-05
78800 -0.0034633
78900 0.00305669
79000 0.00820649
79100 0.00945954
79200 0.00164523
79300 0.00788033
79400 0.00386092
79500 0.00425624
79600 0.00516261
79700 0.00970306
79800 0.00551981
79900 0.00122452
80000 0.00299896
80100 -0.00315179
80200 0.00761881
80300 0.00685926
80400 0.00490603
80500 0.00343144
80600 0.00636232
80700 0.0134735
80800 0.0053876
80900 0.00377006
81000 0.00549781
81100 0.00344296
81200 -0.000911001
81300 0.00165732
81400 0.00767705
81500 0.0077919
81600 0.00513857
81700 0.0042503
81800 0.00203968
81900 -0.00288896
82000 0.0027488
82100 0.00558245
82200 0.00807159
82300 0.000830168
82400 0.00602852
82500 0.00749406
82600 0.00768138
82700 0.00369381
82800 0.00327487
82900 0.0128616
83000 0.00507317
83100 0.00591633
83200 0.00960509
83300 0.00374733
83400 0.00432301
83500 0.00341242
83600 0.00823989
83700 0.0117282
83800 0.00636887
83900 -0.00217911
84000 -0.00391727
84100 0.0104002
84200 0.00844135
84300 0.00525872
84400 0.00288268
84500 0.0078583
84600 0.00306624
84700 0.006061
84800 0.00678513
84900 0.00826713
85000 0.0122515
85100 -1.55116e-05
85200 0.00277713
85300 0.0103204
85400 0.010549
85500 0.005858
85600 0.000527672
85700 0.00900979
85800 0.014968
85900 0.0076379
86000 0.00712383
86100 0.0134244
86200 0.00616947
86300 0.0109387
86400 0.00213211
86500 0.00643529
86600 0.00630805
86700 0.00869676
86800 0.00409648
86900 0.00741992
87000 0.00416973
87100 0.00397336
87200 0.009602
87300 0.00180781
87400 0.00881171
87500 0.00934363
87600 0.00755684
87700 0.00804428
87800 0.00949581
87900 0.000975733
88000 0.00383997
88100 0.00553295
88200 0.00210204
88300 0.00618166
88400 0.0108068
88500 0.00640955
88600 0.00027656
88700 0.00712335
88800 0.00897746
88900 0.0104343
89000 0.00288345
89100 0.00965089
89200 0.00319183
89300 0.00978702
89400 0.00834542
89500 -0.00488097
89600 0.000964196
89700 -0.00220666
89800 0.00223234
89900 0.00673506
90000 0.0116476
90100 0.0133759
90200 0.00868156
90300 0.00645151
90400 0.0112409
90500 0.00835684
90600 0.00494241
90700 -0.00179524
90800 0.0029628
90900 0.00258368
91000 0.00200666
91100 0.0111184
91200 0.00196566
91300 0.00380646
91400 0.0100661
91500 -0.000814442
91600 0.00169689
91700 0.00458541
91800 0.00626835
91900 0.00714449
92000 0.00366453
92100 -0.00026869
92200 0.00899811
92300 0.0067955
92400 0.0028281
92500 0.00576541
92600 0.00256424
92700 0.00389533
92800 0.00356289
92900 0.00627681
93000 0.0105873
93100 0.005828
93200 0.0087837
93300 0.014298
93400 0.00989437
93500 0.00619907
93600 0.00719063
93700 0.00463488
93800 0.00562617
93900 0.00281716
94000 0.00891091
94100 0.0110117
94200 0.00626334
94300 0.00975503
94400 0.007072
94500 0.0079985
94600 0.005343
94700 0.00589924
94800 0.00925661
94900 0.00152642
95000 0.00848726
95100 0.00709868
95200 0.00515119
95300 0.00988176
95400 0.00863391
95500 0.00975385
95600 0.00659703
95700 0.00134777
95800 0.00158515
95900 0.00716086
96000 0.00632905
96100 -0.00128023
96200 0.00454849
96300 0.00401851
96400 0.00241444
96500 -0.000999071
96600 0.00317698
96700 0.00652175
96800 0.00586756
96900 0.00715651
97000 0.00163953
97100 0.00433587
97200 -0.00427123
97300 0.000714696
97400 0.0022903
97500 -0.000537002
97600 0.00402129
97700 0.00507544
97800 0.00569741
97900 0.00707892
98000 0.00448073
98100 0.00800479
98200 0.0065224
98300 0.00854772
98400 0.0107546
98500 0.0113524
98600 0.00439499
98700 0.00992624
98800 -0.000997545
98900 0.00435085
99000 0.00292415
99100 0.0103619
99200 0.0112844
99300 0.0107711
99400 0.00708987
99500 -0.0025708
99600 0.00871742
99700 0.00532672
99800 -0.00136541
99900 0.00164338
100000 0.00721311
100100 0.00362749
100200 0.00574042
100300 0.0049104
100400 0.00417364
100500 -0.00167188
100600 0.00440562
100700 0.00548319
100800 -0.000442188
100900 0.00574771
101000 0.00562909
101100 0.00507478
101200 0.00145078
101300 0.00348024
101400 0.00687281
101500 0.00916756
101600 0.00629326
101700 0.00317707
